Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,,Detected District,Detected State,State Code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
,,02/12/2021,,,,Aizawl,Mizoram,MZ,167,Recovered,,,,,,,,,
,,02/12/2021,,,,Lunglei,Mizoram,MZ,57,Recovered,,,,,,,,,
,,02/12/2021,,,,Saiha,Mizoram,MZ,2,Recovered,,,,,,,,,
,,02/12/2021,,,,Champhai,Mizoram,MZ,20,Recovered,,,,,,,,,
,,02/12/2021,,,,Kolasib,Mizoram,MZ,21,Recovered,,,,,,,,,
,,02/12/2021,,,,Serchhip,Mizoram,MZ,26,Recovered,,,,,,,,,
,,02/12/2021,,,,Lawngtlai,Mizoram,MZ,23,Recovered,,,,,,,,,
,,02/12/2021,,,,Mamit,Mizoram,MZ,19,Recovered,,,,,,,,,
,,02/12/2021,,,,Khawzawl,Mizoram,MZ,18,Recovered,,,,,,,,,
,,02/12/2021,,,,Hnahthial,Mizoram,MZ,15,Recovered,,,,,,,,,
,,02/12/2021,,,,Hnahthial,Mizoram,MZ,1,Deceased,,,,,,,,,
,,02/12/2021,,,,Aizawl,Mizoram,MZ,137,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Lunglei,Mizoram,MZ,28,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Saiha,Mizoram,MZ,2,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Champhai,Mizoram,MZ,34,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Kolasib,Mizoram,MZ,7,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Serchhip,Mizoram,MZ,22,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Lawngtlai,Mizoram,MZ,7,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Mamit,Mizoram,MZ,13,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Khawzawl,Mizoram,MZ,5,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Hnahthial,Mizoram,MZ,8,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Saitual,Mizoram,MZ,12,Hospitalized,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,Dimapur,Nagaland,NL,2,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Kohima,Nagaland,NL,1,Hospitalized,,,,,,,,,
,,02/12/2021,,,,Dimapur,Nagaland,NL,2,Recovered,,,,,,,,,
,,02/12/2021,,,,Mokokchung,Nagaland,NL,4,Recovered,,,,,,,,,
,,02/12/2021,,,,Dimapur,Nagaland,NL,2,Deceased,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,Sikkim,SK,15,Hospitalized,,,,,,,,,
,,02/12/2021,,,,,Sikkim,SK,5,Recovered,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,Puducherry,PY,41,Hospitalized,,,,,,,,,
,,02/12/2021,,,,,Puducherry,PY,35,Recovered,,,,,,,,,
,,02/12/2021,,,,,Puducherry,PY,1,Deceased,,,,,,,,,
,,02/12/2021,,,,,Ladakh,LA,23,Hospitalized,,,,,,,,,
,,02/12/2021,,,,,Ladakh,LA,14,Recovered,,,,,,,,,
,,02/12/2021,,,,,Lakshadweep,LD,2,Hospitalized,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,Goa,GA,56,Hospitalized,,,https://www.goa.gov.in/wp-content/uploads/2021/12/Media-Bulletin-02nd-December-2021.pdf,,,,,,
,,02/12/2021,,,,,Goa,GA,16,Recovered,,,https://www.goa.gov.in/wp-content/uploads/2021/12/Media-Bulletin-02nd-December-2021.pdf,,,,,,
,,02/12/2021,,,,Bhopal,,,,,,,,,,,,,
,,02/12/2021,,,,Indore,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
,,02/12/2021,,,,,,,,,,,,,,,,,
